set,slot_utc,robust,entry,entry_delay,spread,hour,r5,dOI,imb,liq,rng24,d_hi,d_lo,atr,mfe,t_mfe,mae,t_mae,fp0.5,fp1.0,n1,n5,n15,n30,n60
primary,2026-08-19T00:00:00,1,64594.16,30.468,7.0,0.0,-0.0013,0.001,0.4973,0.0021,18.455,3.6209,0.4138,43.18,35.52,16.9784,206.25,56.9309,adv,adv,-50.86,-22.76,-41.28,2.71,-208.67
primary,2026-08-19T09:05:00,0,64372.79,30.747,7.0,9.0,-0.0012,,-0.5495,0.0,18.2,1.4201,3.3614,54.4957,14.68,1.6719,75.61,33.7082,adv,adv,-10.74,-61.05,-38.54,-49.23,-61.33
primary,2026-08-19T12:50:00,1,64795.35,30.516,7.0,12.0,-0.0021,0.0076,-0.1071,0.0,18.42,1.6463,4.3238,88.0829,371.27,36.6477,66.06,5.362,fav,fav,-0.52,-31.23,39.24,89.55,198.95
primary,2026-08-19T15:45:00,1,68471.1,30.174,7.0,15.0,-0.0028,,-0.1104,1.7657,18.65,3.3812,5.2779,567.0493,514.3,15.0383,277.0,4.5675,fav,neither,67.4,-138.9,319.44,205.67,159.31
primary,2026-08-19T16:50:00,1,68563.51,30.817,7.0,16.0,-0.0013,0.0007,-0.0134,0.0,19.1,1.8751,1.6129,226.865,9.54,0.2656,771.99,37.5234,adv,adv,4.17,-107.1,-252.61,-666.68,-387.59
primary,2026-08-19T18:05:00,0,68061.14,30.528,7.0,18.0,-0.0011,-0.0003,0.221,0.0,19.905,1.7455,1.5665,169.8843,384.21,34.9355,59.65,0.7513,fav,fav,-39.44,73.73,208.85,226.47,264.8
primary,2026-08-19T19:10:00,1,68133.87,30.033,7.0,19.0,-0.0037,0.0005,0.0616,3.5478,20.965,2.4789,0.393,127.065,562.05,57.8838,32.15,15.2803,fav,fav,34.1,155.37,33.45,231.5,490.9
primary,2026-08-19T20:15:00,0,68570.77,30.948,7.0,20.0,-0.001,-0.0011,-0.0431,0.0,22.56,0.7903,2.86,162.7807,1337.67,46.9774,7.0,0.0,fav,fav,118.35,209.98,122.04,213.07,926.48
primary,2026-08-19T21:50:00,0,69798.88,30.824,7.0,21.0,-0.0009,0.0023,-0.2208,0.0,25.58,0.6768,2.1866,384.6136,40.49,0.3712,854.51,38.4643,adv,adv,-89.74,-65.59,-441.28,-599.92,-628.49
primary,2026-08-19T23:20:00,1,69269.46,30.032,7.0,23.0,-0.0014,-0.0012,-0.1571,0.0,28.78,1.0341,1.8659,172.3493,490.77,56.5147,152.03,27.585,fav,fav,-30.55,55.13,7.19,-60.78,368.45
primary,2026-08-20T00:20:00,0,69649.11,30.026,7.0,0.0,-0.0011,0.0011,0.0882,0.3892,31.15,0.7526,3.4681,152.2986,57.81,2.1041,421.28,52.4808,adv,adv,15.03,-80.49,-98.3,-209.02,-327.54
primary,2026-08-20T01:20:00,0,69333.57,30.619,7.0,1.0,-0.0011,0.0012,-0.3327,1.0059,34.855,2.3029,0.6248,163.6421,519.39,25.2017,84.63,5.9783,adv,fav,-22.33,-70.85,217.36,312.05,122.93
