episode_end_utc,entry_utc,n_buckets,total_btc,long_btc,short_btc,q95,dir(-1=forced selling),atr14,cont1,cont5,cont15,cont30,cont60,rev1,rev5,rev15,rev30,rev60,mfe60,mae60,fp1atr,oi_chg_pct,taker_imb
2026-08-23T14:45:00,2026-08-23T14:45:00,1,27.671,26.929,0.742,25.695,-1,107.87,-7.79,-190.8,-173.19,-141.4,-242.82,-16.21,166.8,149.19,117.4,218.82,116.04,308.41,adverse,,
2026-08-24T11:40:00,2026-08-24T11:40:00,1,28.44,0.001,28.439,25.471,1,97.4,156.02,232.17,-177.97,-134.0,351.91,-180.02,-256.17,153.97,110.0,-375.91,417.92,361.05,favourable,0.21,-0.382
2026-08-24T12:55:00,2026-08-24T12:55:00,1,36.635,0.0,36.635,25.64,1,151.07,35.3,3.18,83.77,-158.04,-787.79,-59.3,-27.18,-107.77,134.04,763.79,302.67,1305.07,favourable,-0.015,-0.192
2026-08-24T13:45:00,2026-08-24T13:45:00,1,28.659,28.659,0.0,25.724,-1,205.72,243.7,-19.02,-316.05,-917.53,-1382.92,-267.7,-4.98,292.05,893.53,1358.92,443.23,1562.94,favourable,-0.932,0.004
2026-08-25T02:25:00,2026-08-25T02:25:00,1,47.763,0.001,47.762,25.406,1,250.44,10.9,200.15,156.05,-151.66,-148.42,-34.9,-224.15,-180.05,127.66,124.42,493.85,365.02,favourable,-1.995,-0.192
2026-08-25T09:55:00,2026-08-25T09:55:00,1,38.929,38.929,0.0,25.445,-1,132.31,-73.87,-114.33,-146.26,-228.35,-282.29,49.87,90.33,122.26,204.35,258.29,109.4,391.48,adverse,-1.438,0.298
2026-08-25T21:10:00,2026-08-25T21:10:00,1,31.576,31.552,0.024,24.745,-1,125.07,-146.98,-318.2,-403.48,-628.49,-840.65,122.98,294.2,379.48,604.49,816.65,73.41,927.12,adverse,,
2026-08-27T08:05:00,2026-08-27T08:05:00,1,36.231,0.0,36.231,21.312,1,83.2,-131.76,311.82,80.47,418.59,314.23,107.76,-335.82,-104.47,-442.59,-338.23,610.57,143.54,adverse,,
2026-08-27T09:30:00,2026-08-27T09:30:00,1,55.671,0.013,55.659,20.116,1,98.5,-162.54,-296.25,-247.85,-513.31,-835.11,138.54,272.25,223.85,489.31,811.11,40.06,1154.34,adverse,-0.241,-0.192
2026-08-28T01:20:00,2026-08-28T01:20:00,1,22.815,0.0,22.815,19.714,1,88.3,115.63,68.3,166.38,-264.73,-861.27,-139.63,-92.3,-190.38,240.73,837.27,525.93,935.41,favourable,0.284,-0.458
2026-08-28T14:05:00,2026-08-28T14:05:00,1,20.386,17.686,2.7,14.093,-1,181.68,74.93,-45.65,-79.18,-478.35,-705.87,-98.93,21.65,55.18,454.35,681.87,381.36,1066.1,favourable,-0.024,-0.044
2026-08-28T14:40:00,2026-08-28T14:40:00,1,17.014,0.012,17.002,14.117,1,157.7,51.09,-56.15,26.01,-135.83,-345.02,-75.09,32.15,-50.01,111.83,321.02,398.91,383.83,adverse,0.284,-0.206
2026-08-28T15:45:00,2026-08-28T15:45:00,1,15.76,15.76,0.0,14.536,-1,83.06,-0.9,102.25,466.82,991.01,1004.54,-23.1,-126.25,-490.82,-1015.01,-1028.54,1948.96,119.02,adverse,-0.339,-0.259
2026-08-28T16:05:00,2026-08-28T16:05:00,2,50.522,50.496,0.025,14.728,-1,120.82,-80.24,-48.96,407.13,384.34,337.55,56.24,24.96,-431.13,-408.34,-361.55,1200.95,229.93,adverse,0.48,0.237
2026-08-28T16:30:00,2026-08-28T16:30:00,3,159.848,146.33,13.518,15.214,-1,193.95,-107.64,-152.95,-280.76,-264.6,-422.16,83.64,128.95,256.76,240.6,398.16,34.52,602.61,adverse,,
2026-08-30T16:15:00,2026-08-30T16:15:00,1,15.484,0.0,15.484,14.907,1,86.43,55.96,-29.17,-85.19,79.47,53.53,-79.96,5.17,61.19,-103.47,-77.53,305.63,109.15,favourable,-0.143,0.222
2026-08-30T20:45:00,2026-08-30T20:45:00,1,17.317,17.317,0.0,15.11,-1,75.44,-92.86,-190.69,-115.72,-17.22,-168.22,68.86,166.69,91.72,-6.78,144.22,271.41,258.51,adverse,-0.61,0.054
2026-08-30T21:05:00,2026-08-30T21:05:00,1,38.102,38.102,0.0,15.498,-1,80.46,13.41,-62.64,-136.32,-256.89,-283.21,-37.41,38.64,112.32,232.89,259.21,115.58,336.57,favourable,-0.951,0.423
2026-08-30T23:30:00,2026-08-30T23:30:00,1,28.693,28.693,0.0,15.812,-1,145.16,-159.85,-80.43,193.6,-2.21,-229.85,135.85,56.43,-217.6,-21.79,205.85,694.65,287.0,adverse,-1.552,0.325
2026-08-30T23:40:00,2026-08-30T23:40:00,1,17.034,17.034,0.0,16.287,-1,144.18,29.53,45.53,-48.77,81.76,-490.56,-53.53,-69.53,24.77,-105.76,466.56,546.58,645.64,favourable,-0.362,0.016
2026-08-30T23:50:00,2026-08-30T23:50:00,1,20.517,20.414,0.103,16.44,-1,160.55,-95.67,-217.56,-452.53,-495.43,-613.93,71.67,193.56,428.53,471.43,589.93,3.06,814.43,adverse,-0.834,-0.047
2026-08-31T09:10:00,2026-08-31T09:10:00,1,17.725,0.0,17.725,17.027,1,75.83,-102.67,-107.03,3.4,-101.7,-369.79,78.67,83.03,-27.4,77.7,345.79,63.15,446.09,adverse,0.018,0.192
2026-08-31T14:45:00,2026-08-31T14:45:00,1,19.274,0.0,19.274,16.44,1,123.65,-35.29,-117.63,58.3,-212.28,189.59,11.29,93.63,-82.3,188.28,-213.59,265.08,304.72,adverse,-0.192,0.097
2026-09-01T16:20:00,2026-09-01T16:20:00,1,15.509,15.509,0.0,14.396,-1,71.03,38.15,72.52,95.68,-4.57,28.06,-62.15,-96.52,-119.68,-19.43,-52.06,306.22,79.72,favourable,-0.215,0.35
2026-09-01T18:30:00,2026-09-01T18:30:00,1,18.336,18.336,0.0,15.032,-1,89.46,66.2,98.68,453.14,-124.93,-326.68,-90.2,-122.68,-477.14,100.93,302.68,644.39,445.61,favourable,,
2026-09-01T18:50:00,2026-09-01T18:50:00,2,82.668,82.668,0.0,15.491,-1,113.8,-142.56,-169.6,-534.46,-443.35,-527.57,118.56,145.6,510.46,419.35,503.57,14.27,703.54,adverse,,
2026-09-03T02:35:00,2026-09-03T02:35:00,1,15.381,0.0,15.381,15.001,1,79.33,-42.1,-144.75,-69.11,-179.51,-186.39,18.1,120.75,45.11,155.51,162.39,32.34,184.49,adverse,,
2026-09-03T05:25:00,2026-09-03T05:25:00,1,17.597,17.597,0.0,15.305,-1,67.48,25.82,67.74,-149.14,-398.65,-459.85,-49.82,-91.74,125.14,374.65,435.85,195.29,561.19,favourable,-0.368,0.204
2026-09-03T12:35:00,2026-09-03T12:35:00,1,31.177,0.0,31.177,14.82,1,80.09,-90.75,58.42,48.06,302.75,316.84,66.75,-82.42,-72.06,-326.75,-340.84,495.22,94.79,adverse,-0.244,0.391
2026-09-03T13:00:00,2026-09-03T13:00:00,2,49.03,0.0,49.03,15.001,1,88.09,-64.37,-60.8,-118.11,-165.42,181.57,40.37,36.8,94.11,141.42,-205.57,348.83,205.15,adverse,0.155,0.098
2026-09-03T14:35:00,2026-09-03T14:35:00,3,136.888,0.0,136.888,15.479,1,123.27,19.36,-115.19,582.58,1046.35,1093.91,-43.36,91.19,-606.58,-1070.35,-1117.91,1209.18,162.42,adverse,0.079,-0.12
2026-09-03T14:50:00,2026-09-03T14:50:00,1,76.079,0.0,76.079,16.227,1,139.47,-32.01,-118.26,451.77,245.52,413.79,8.01,94.26,-475.77,-269.52,-437.79,667.8,257.65,adverse,0.53,0.079
2026-09-03T15:05:00,2026-09-03T15:05:00,1,63.567,0.0,63.567,16.904,1,175.99,22.07,-225.58,-218.25,35.56,23.5,-46.07,201.58,194.25,-59.56,-47.5,564.77,466.37,adverse,0.232,-0.048
2026-09-03T16:00:00,2026-09-03T16:00:00,2,78.872,0.032,78.84,17.027,1,116.66,-84.53,-524.08,-424.23,-603.91,-396.9,60.53,500.08,400.23,579.91,372.9,17.17,745.71,adverse,0.407,0.141
2026-09-03T19:10:00,2026-09-03T19:10:00,1,24.449,0.001,24.449,17.471,1,104.44,0.54,-88.81,235.9,215.03,354.81,-24.54,64.81,-259.9,-239.03,-378.81,526.2,115.93,adverse,-0.132,-0.477
2026-09-03T21:35:00,2026-09-03T21:35:00,1,211.07,0.0,211.07,17.61,1,111.39,-174.15,-397.85,-409.62,-527.29,-1045.59,150.15,373.85,385.62,503.29,1021.59,5.74,1170.39,adverse,-0.182,-0.267
2026-09-04T12:35:00,2026-09-04T12:35:00,1,61.554,61.538,0.016,17.513,-1,226.79,-13.61,-122.33,375.25,408.09,556.81,-10.39,98.33,-399.25,-432.09,-580.81,679.3,282.41,favourable,-4.228,0.038
2026-09-04T12:50:00,2026-09-04T12:50:00,1,22.289,22.289,0.0,17.674,-1,195.14,-126.27,-176.48,20.84,85.38,-230.08,102.27,152.48,-44.84,-109.38,206.08,471.75,250.92,adverse,-0.055,0.038
2026-09-04T14:50:00,2026-09-04T14:50:00,1,22.026,22.026,0.0,17.667,-1,127.94,-172.89,-126.56,-296.82,-558.64,-726.16,148.89,102.56,272.82,534.64,702.16,55.3,875.08,adverse,-0.72,0.272
2026-09-06T23:05:00,2026-09-06T23:05:00,1,15.32,0.0,15.32,14.895,1,69.13,-35.48,13.87,15.83,-16.14,92.85,11.48,-37.87,-39.83,-7.86,-116.85,350.05,128.8,adverse,,
2026-09-07T07:35:00,2026-09-07T07:35:00,1,21.018,21.018,0.0,13.78,-1,86.41,78.73,102.27,-39.62,-89.89,-169.34,-102.73,-126.27,15.62,65.89,145.34,343.03,190.07,favourable,-0.216,0.122
2026-09-07T07:45:00,2026-09-07T07:45:00,1,16.362,16.362,0.0,14.408,-1,100.09,-59.73,-95.66,-130.66,-190.01,-215.56,35.73,71.66,106.66,166.01,191.56,2.07,246.11,adverse,-0.409,-0.052
2026-09-07T15:35:00,2026-09-07T15:35:00,1,15.112,15.112,0.0,13.92,-1,53.63,-39.18,68.81,-6.11,-19.77,-77.59,15.18,-92.81,-17.89,-4.23,53.59,175.02,90.47,adverse,-0.188,0.087
2026-09-08T13:45:00,2026-09-08T13:45:00,2,52.178,52.178,0.0,14.788,-1,122.65,54.42,-55.37,-133.05,-318.56,-588.55,-78.42,31.37,109.05,294.56,564.55,221.96,596.73,favourable,-0.077,0.326
2026-09-08T18:50:00,2026-09-08T18:50:00,1,21.811,21.811,0.0,12.491,-1,54.62,-92.75,-64.16,-191.88,-111.6,-90.61,68.75,40.16,167.88,87.6,66.61,67.93,195.49,adverse,-0.016,-0.25
2026-09-09T15:25:00,2026-09-09T15:25:00,1,30.809,30.809,0.0,11.959,-1,124.83,-125.71,-303.91,-666.48,-625.03,-449.02,101.71,279.91,642.48,601.03,425.02,11.24,722.2,adverse,-0.286,-0.226
2026-09-09T20:30:00,2026-09-09T20:30:00,1,14.979,14.979,0.0,12.258,-1,69.41,-100.59,-153.67,-189.62,-216.3,-184.05,76.59,129.67,165.62,192.3,160.05,12.04,239.13,adverse,-0.387,-0.185
2026-09-09T22:10:00,2026-09-09T22:10:00,1,49.355,48.973,0.382,12.941,-1,63.7,-60.65,-19.77,-193.44,-184.48,-324.24,36.65,-4.23,169.44,160.48,300.24,91.12,322.09,adverse,-0.155,0.104
2026-09-10T12:40:00,2026-09-10T12:40:00,1,34.029,34.029,0.0,12.297,-1,165.43,-49.72,-21.12,252.09,147.41,40.7,25.72,-2.88,-276.09,-171.41,-64.7,460.99,147.73,favourable,-0.529,0.213
2026-09-10T12:50:00,2026-09-10T12:50:00,1,138.781,138.781,0.0,13.227,-1,149.3,-101.51,163.99,-15.94,269.71,-45.95,77.51,-187.99,-8.06,-293.71,21.95,353.84,90.26,favourable,-0.139,-0.208
2026-09-10T16:10:00,2026-09-10T16:10:00,1,10.816,10.816,0.0,10.463,-1,60.1,-32.66,-66.85,-67.09,-101.19,-218.66,8.66,42.85,43.09,77.19,194.66,138.74,303.59,adverse,-0.211,0.065
2026-09-10T17:35:00,2026-09-10T17:35:00,1,14.314,0.003,14.311,10.488,1,58.65,36.28,-153.8,-128.33,-337.33,-422.18,-60.28,129.8,104.33,313.33,398.18,48.28,524.82,adverse,,
2026-09-11T12:40:00,2026-09-11T12:40:00,2,82.323,38.439,43.884,10.197,1,325.02,-155.37,-64.45,290.99,-75.77,7.34,131.37,40.45,-314.99,51.77,-31.34,514.78,383.04,favourable,,
2026-09-11T12:50:00,2026-09-11T12:50:00,1,14.251,0.001,14.251,10.169,1,186.91,139.13,69.37,-97.16,-152.86,662.91,-163.13,-93.37,73.16,128.86,-686.91,765.01,604.66,favourable,0.752,-0.075
2026-09-11T14:10:00,2026-09-11T14:10:00,5,163.632,16.005,147.627,10.163,1,242.87,-151.54,-0.33,-6.39,-302.13,-398.62,127.54,-23.67,-17.61,278.13,374.62,154.37,543.66,adverse,0.221,-0.005
2026-09-11T16:00:00,2026-09-11T16:00:00,2,107.591,107.564,0.026,11.504,-1,207.22,-223.55,-128.37,-80.26,32.85,-203.68,199.55,104.37,56.26,-56.85,179.68,352.25,342.83,adverse,0.251,0.193
2026-09-11T18:10:00,2026-09-11T18:10:00,2,48.254,48.254,0.0,12.219,-1,107.94,-45.13,-32.92,-115.92,-174.64,-116.65,21.13,8.92,91.92,150.64,92.65,126.16,230.52,adverse,-1.111,-0.136
