tb,time,src,era,kind,d,pnl,R,tpf,spread_med24,spread_over_range24,spread_over_atr,tp_over_spread,stop_over_spread,atr_over_price,rng60,rng360,rng1440,absret60,absret360,absret1440,sd60,sd360,sd1440,er60,er360,er1440,signac360,flips_per_day,bos_per_day,cont_per_flip,med_flip_gap_min,trend_age_min,flip_share20,own20_tpf,own50_tpf,own20_R,own50_R,own20_flip_R,own20_cont_R,mkt20_fwd5,mkt20_fwd15,mkt20_fwd30,mkt20_ge05
1767916260,2026-01-08T23:51:00,V2,DISC,flip,-1,0.7523,0.8,1,12.6,0.24147,0.40608,2.98571,3.73175,3.40836,29.26,46.64,52.18,141.89455,1260.68499,5498.58507,3.18364,4.59724,5.34037,0.07393,0.02138,0.00355,-0.0195,12,36,2.0,96.0,52.0,0.5,0.55,0.48,-0.01806,-0.14569,-0.10924,-0.10793,-0.06165,-0.14366,-0.29335,0.15
1767919080,2026-01-09T00:38:00,V2,DISC,flip,1,-3.2126,-1.0057,0,12.6,0.24407,0.36918,10.14127,12.67619,3.74548,30.41,42.515,51.625,134.02633,1192.71461,5449.88792,2.79781,4.38488,5.3174,0.00659,0.00314,0.00084,-0.0195,14,38,1.71429,71.0,0.0,0.45,0.5,0.48,-0.10832,-0.14569,-0.10924,-0.10721,-0.08363,-0.20596,-0.31049,0.15
1767922140,2026-01-09T01:29:00,V2,DISC,cont,1,-9.9182,-1.0046,0,12.6,0.246,0.15994,31.34286,39.17857,8.61633,33.33,40.395,51.22,168.07921,1113.05038,5429.75104,5.25063,4.40966,5.37597,0.27884,0.04318,0.00034,-0.04735,14,39,1.78571,71.0,51.0,0.5,0.5,0.46,-0.10894,-0.18305,-0.2026,-0.10721,-0.02319,-0.14771,-0.30944,0.2
1767945300,2026-01-09T07:55:00,V2,DISC,flip,-1,10.0357,0.8,1,12.6,0.27904,0.35589,39.82381,49.78016,3.90156,26.08,31.925,45.155,136.14685,875.30042,5089.4732,3.04571,3.30224,5.02707,0.21871,0.02555,0.00796,-0.11978,11,31,1.81818,71.0,0.0,0.5,0.45,0.46,-0.1988,-0.1813,-0.11004,-0.19744,-0.09799,-0.2204,-0.33365,0.25
1768185780,2026-01-12T02:43:00,V2,DISC,flip,1,-37.6628,-1.0029,0,12.6,0.63285,0.19478,119.21746,149.02222,7.04091,54.105,48.79,19.91,205.37069,1274.27151,2755.75529,4.56702,5.11825,3.22791,0.33423,0.12055,0.05239,-0.04735,1,1,0.0,178.0,0.0,0.5,0.5,0.48,-0.10783,-0.14494,-0.11005,-0.19744,-0.07301,-0.04308,-0.14894,0.3
1768229460,2026-01-12T14:51:00,V2,DISC,flip,1,8.8218,0.8,1,12.6,0.31285,0.07848,35.00714,43.75873,17.64361,74.24,42.24,40.275,357.35947,1207.57513,4533.68675,8.66337,4.90412,4.61082,0.13854,0.05147,0.00255,-0.06964,3,8,1.66667,178.0,0.0,0.55,0.5,0.46,-0.10795,-0.181,-0.20019,-0.19744,-0.09523,0.01131,0.02499,0.4
1768233060,2026-01-12T15:51:00,V2,DISC,cont,1,3.7699,0.8,1,12.6,0.30256,0.11665,14.96032,18.7,11.80466,109.82,44.505,41.645,373.38781,1359.76528,4707.81752,7.77986,5.52958,4.80295,0.14848,0.06181,0.01916,-0.08635,3,11,2.66667,178.0,60.0,0.55,0.5,0.46,-0.10795,-0.181,-0.20019,-0.19744,-0.14682,-0.12329,-0.03904,0.35
1768235040,2026-01-12T16:24:00,V2,DISC,cont,1,4.8477,0.8,1,12.6,0.29364,0.11767,19.23651,24.04603,11.66849,105.215,49.52,42.91,337.31245,1433.36734,4817.21849,6.46961,5.73144,4.89409,0.21067,0.09976,0.02043,-0.07521,3,12,3.0,178.0,93.0,0.55,0.5,0.46,-0.10795,-0.181,-0.20019,-0.19744,-0.14359,-0.05148,0.08008,0.4
1768254840,2026-01-12T21:54:00,V2,DISC,flip,-1,-22.4672,-1.0033,0,12.6,0.24338,0.18986,71.0873,88.85952,7.30054,46.005,60.445,51.77,208.47873,1527.98887,5573.01453,4.29867,5.7215,5.39685,0.23123,0.03848,0.00488,-0.07521,4,13,2.25,292.0,0.0,0.55,0.5,0.5,-0.10795,-0.10834,-0.20019,-0.01576,-0.06218,0.0146,0.18809,0.45
1768287420,2026-01-13T06:57:00,V2,DISC,flip,1,7.8714,0.8,1,12.6,0.27376,0.22917,31.23571,39.04444,5.96521,42.515,36.23,46.025,206.55182,1019.3502,5140.56458,5.06798,4.10106,5.11306,0.17018,0.08407,0.00921,-0.00279,4,12,2.0,423.0,0.0,0.55,0.45,0.5,-0.19812,-0.10825,-0.19966,-0.01576,-0.04105,0.05076,0.26532,0.45
1768306020,2026-01-13T12:07:00,V2,DISC,flip,-1,-9.67,-1.0639,0,12.6,0.29076,0.30399,28.85317,36.06667,4.51439,33.59,38.005,43.335,144.73656,1088.61246,4973.04998,3.25573,4.22937,4.93793,0.18239,0.00743,0.02676,-0.07521,4,11,1.75,423.0,0.0,0.6,0.45,0.5,-0.19812,-0.10825,-0.19966,-0.01576,-0.05128,-0.00425,0.16187,0.45
1768312860,2026-01-13T14:01:00,V2,DISC,cont,-1,-13.8066,-1.0032,0,12.6,0.27969,0.13199,43.69048,54.61349,10.39954,59.475,38.505,45.05,327.92804,1193.71414,5129.02053,8.12251,4.94067,5.15173,0.04273,0.00363,0.02664,-0.0195,4,12,2.0,423.0,114.0,0.6,0.45,0.5,-0.19812,-0.10825,-0.19966,-0.01576,-0.0205,0.00101,0.10464,0.4
1768318560,2026-01-13T15:36:00,V2,DISC,flip,1,16.5597,0.8,1,12.6,0.27762,0.09584,65.7127,82.14127,14.12745,131.07,49.81,45.385,479.14019,1516.34903,5092.70591,9.90558,6.31388,5.13694,0.09768,0.05763,0.03622,0.03064,4,9,1.25,423.0,0.0,0.6,0.45,0.48,-0.20125,-0.14553,-0.20247,-0.01576,0.00837,0.04699,0.11234,0.4
